sigla,descricao,urlDocumentacao,tipoAplicacao,faseCicloVida,criticidadeNegocio
CRM-WEB,Sistema de gestão de relacionamento com clientes,https://docs.empresa.com/crm,INTERNO,Produção,Média
PORTAL-RH,Portal de recursos humanos e autoatendimento,https://docs.empresa.com/rh,INTERNO,Produção,Alta
APP-VENDAS,Aplicativo mobile para força de vendas,https://docs.empresa.com/vendas,EXTERNO,Desenvolvimento,Baixa
SISFIN,Sistema financeiro corporativo,https://docs.empresa.com/financeiro,INTERNO,Produção,Muito Alta
API-GATEWAY,Gateway de APIs corporativas,https://docs.empresa.com/gateway,INTERNO,Produção,Alta
PORTAL-CLI,Portal de autoatendimento para clientes,https://docs.empresa.com/portal-cliente,EXTERNO,Produção,Muito Alta
DASH-BI,Dashboard de business intelligence,https://docs.empresa.com/bi,INTERNO,Produção,Média
ESTOQUE,Sistema de controle de estoque,https://docs.empresa.com/estoque,INTERNO,Produção,Alta
PEDIDOS,Sistema de gestão de pedidos,https://docs.empresa.com/pedidos,INTERNO,Produção,Alta
LEGADO-ERP,Sistema ERP legado em fase de substituição,https://docs.empresa.com/erp-legado,INTERNO,Descomissionamento,Baixa

