sigla,descricao,tipo,dominio,subcategoria
JAVA,Linguagem de programação Java,Técnica,Desenvolvimento & Engenharia,Linguagens
PYTHON,Linguagem de programação Python,Técnica,Desenvolvimento & Engenharia,Linguagens
JAVASCRIPT,Linguagem de programação JavaScript,Técnica,Desenvolvimento & Engenharia,Linguagens
TYPESCRIPT,TypeScript - Superset do JavaScript,Técnica,Desenvolvimento & Engenharia,Linguagens
SQL,Linguagem de consulta estruturada,Técnica,Desenvolvimento & Engenharia,Banco de Dados
DOCKER,Containerização com Docker,Técnica,Infraestrutura & Cloud,DevOps
KUBERNETES,Orquestração de containers,Técnica,Infraestrutura & Cloud,DevOps
GIT,Controle de versão Git,Técnica,Desenvolvimento & Engenharia,Ferramentas
AWS,Amazon Web Services,Técnica,Infraestrutura & Cloud,Cloud Computing
AZURE,Microsoft Azure,Técnica,Infraestrutura & Cloud,Cloud Computing
REACT,Biblioteca React para UI,Técnica,Desenvolvimento & Engenharia,Frontend
SPRING,Framework Spring Boot,Técnica,Desenvolvimento & Engenharia,Backend
COMUNICACAO,Habilidade de comunicação efetiva,Comportamental,Gestão & Liderança,Soft Skills
LIDERANCA,Liderança de equipes,Comportamental,Gestão & Liderança,Soft Skills
SCRUM,Metodologia ágil Scrum,Metodológica,Gestão & Liderança,Metodologias Ágeis

Trabalho em Equipe,Capacidade de colaborar em equipe,Comportamental,Intermediário
Liderança,Capacidade de liderar e motivar equipes,Comportamental,Avançado
Resolução de Problemas,Habilidade analítica para resolver problemas,Comportamental,Intermediário
